TRKJ2-1-06EX-01,「日曜日は何をするつもりですか」「わかりません」「映画にいくつもりかもしれません」,What are you going to do on Sunday? I'm not sure. I might go to the movies.
TRKJ2-1-06EX-02,それは馬鹿げている。本当のはずがない,That's crazy. It can't be true.
TRKJ2-1-06EX-03,信じられない。一体どうしてこんなことが私に起こるんだ。,I can't believe it. How can this happen to me?
TRKJ2-1-06EX-04,彼女は生後９ケ月です。もうじき歩けるようになるでしょう。,She is nine months old. She will be able to walk soon.
TRKJ2-1-06EX-05,私は３日間も眠れないでいます。,I haven't been able to sleep for three days.
TRKJ2-1-06EX-06,君のご両親は君のことを誇りに思っているでしょうね。,Your parents must be proud of you.
TRKJ2-1-06EX-07,彼女はよく君のことを話しているので、君のことが好きなはずです。,"She often talks about you, so she must like you."
TRKJ2-1-06EX-08,「今の質問に答えなくてはなりませんか」「いいえ、その必要はありません」,"Must I answer this question now? No, you don't have to."
TRKJ2-1-06EX-09,もし君がそれをしなければ、誰か他の人がしなくてはならないでしょう,"If you don't do that, someone else will have to."
TRKJ2-1-06EX-10,試験の勉強をしなくてはならなかったので今週はとても忙しいです。,I've been pretty busy this week because I've had to study for the exam.
